fecha,geografia,variable,valor,unidad,fuente
2023-01-06,Tolima,temp_min,14.1,°C,open-meteo
2023-01-07,Antioquia,precipitacion,7.2,mm,open-meteo
2023-01-07,Antioquia,temp_max,19.8,°C,open-meteo
2023-01-07,Antioquia,temp_min,15.2,°C,open-meteo
2023-01-07,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC
2023-01-07,Caldas,precipitacion,14.8,mm,open-meteo
2023-01-07,Caldas,temp_max,14.7,°C,open-meteo
2023-01-07,Caldas,temp_min,11.3,°C,open-meteo
2023-01-07,Cauca,precipitacion,8.5,mm,open-meteo
2023-01-07,Cauca,temp_max,19.0,°C,open-meteo
2023-01-07,Cauca,temp_min,13.7,°C,open-meteo
2023-01-07,Huila,precipitacion,11.4,mm,open-meteo
2023-01-07,Huila,temp_max,23.5,°C,open-meteo
2023-01-07,Huila,temp_min,14.4,°C,open-meteo
2023-01-07,Nariño,precipitacion,5.1,mm,open-meteo
2023-01-07,Nariño,temp_max,18.1,°C,open-meteo
2023-01-07,Nariño,temp_min,13.8,°C,open-meteo
2023-01-07,Quindío,precipitacion,5.1,mm,open-meteo
2023-01-07,Quindío,temp_max,18.5,°C,open-meteo
2023-01-07,Quindío,temp_min,14.5,°C,open-meteo
2023-01-07,Risaralda,precipitacion,10.6,mm,open-meteo
2023-01-07,Risaralda,temp_max,20.5,°C,open-meteo
2023-01-07,Risaralda,temp_min,14.8,°C,open-meteo
2023-01-07,Tolima,precipitacion,12.7,mm,open-meteo
2023-01-07,Tolima,temp_max,19.3,°C,open-meteo
2023-01-07,Tolima,temp_min,14.4,°C,open-meteo
2023-01-08,Antioquia,precipitacion,8.3,mm,open-meteo
2023-01-08,Antioquia,temp_max,23.0,°C,open-meteo
2023-01-08,Antioquia,temp_min,15.2,°C,open-meteo
2023-01-08,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC
2023-01-08,Caldas,precipitacion,24.6,mm,open-meteo
2023-01-08,Caldas,temp_max,16.8,°C,open-meteo
2023-01-08,Caldas,temp_min,10.6,°C,open-meteo
2023-01-08,Cauca,precipitacion,11.2,mm,open-meteo
2023-01-08,Cauca,temp_max,19.2,°C,open-meteo
2023-01-08,Cauca,temp_min,13.4,°C,open-meteo
2023-01-08,Huila,precipitacion,20.0,mm,open-meteo
2023-01-08,Huila,temp_max,22.9,°C,open-meteo
2023-01-08,Huila,temp_min,13.2,°C,open-meteo
2023-01-08,Nariño,precipitacion,5.8,mm,open-meteo
2023-01-08,Nariño,temp_max,18.2,°C,open-meteo
2023-01-08,Nariño,temp_min,13.2,°C,open-meteo
2023-01-08,Quindío,precipitacion,8.2,mm,open-meteo
2023-01-08,Quindío,temp_max,19.7,°C,open-meteo
2023-01-08,Quindío,temp_min,14.4,°C,open-meteo
2023-01-08,Risaralda,precipitacion,1.5,mm,open-meteo
2023-01-08,Risaralda,temp_max,22.5,°C,open-meteo
2023-01-08,Risaralda,temp_min,14.1,°C,open-meteo
2023-01-08,Tolima,precipitacion,13.3,mm,open-meteo
2023-01-08,Tolima,temp_max,20.4,°C,open-meteo
2023-01-08,Tolima,temp_min,14.2,°C,open-meteo
2023-01-09,Antioquia,precipitacion,9.0,mm,open-meteo
2023-01-09,Antioquia,temp_max,24.6,°C,open-meteo
2023-01-09,Antioquia,temp_min,14.9,°C,open-meteo
2023-01-09,COLOMBIA,fx_usd_local,4858.25,COP/USD,yfinance
2023-01-09,COLOMBIA,precio_interno_referencia,1885000.0,COP/carga_125kg,FNC
2023-01-09,Caldas,precipitacion,30.1,mm,open-meteo
2023-01-09,Caldas,temp_max,15.6,°C,open-meteo
2023-01-09,Caldas,temp_min,10.0,°C,open-meteo
2023-01-09,Cauca,precipitacion,1.9,mm,open-meteo
