semana_fin,fecha_dato,geografia,variable,valor,unidad,fuente,dias_observados
2023-02-05,2023-02-05,Huila,temp_min_semanal,10.2,°C,open-meteo,7
2023-02-05,2023-02-05,Huila,temp_promedio_semanal,18.7214,°C,open-meteo,7
2023-02-05,2023-02-05,Nariño,precipitacion_semanal,23.6,mm,open-meteo,7
2023-02-05,2023-02-05,Nariño,temp_max_semanal,22.6,°C,open-meteo,7
2023-02-05,2023-02-05,Nariño,temp_min_semanal,11.2,°C,open-meteo,7
2023-02-05,2023-02-05,Nariño,temp_promedio_semanal,16.7429,°C,open-meteo,7
2023-02-05,2023-02-05,Quindío,precipitacion_semanal,56.7,mm,open-meteo,7
2023-02-05,2023-02-05,Quindío,temp_max_semanal,24.1,°C,open-meteo,7
2023-02-05,2023-02-05,Quindío,temp_min_semanal,13.4,°C,open-meteo,7
2023-02-05,2023-02-05,Quindío,temp_promedio_semanal,18.5786,°C,open-meteo,7
2023-02-05,2023-02-05,Risaralda,precipitacion_semanal,14.3,mm,open-meteo,7
2023-02-05,2023-02-05,Risaralda,temp_max_semanal,25.2,°C,open-meteo,7
2023-02-05,2023-02-05,Risaralda,temp_min_semanal,13.6,°C,open-meteo,7
2023-02-05,2023-02-05,Risaralda,temp_promedio_semanal,19.5214,°C,open-meteo,7
2023-02-05,2023-02-05,Tolima,precipitacion_semanal,50.0,mm,open-meteo,7
2023-02-05,2023-02-05,Tolima,temp_max_semanal,23.8,°C,open-meteo,7
2023-02-05,2023-02-05,Tolima,temp_min_semanal,11.7,°C,open-meteo,7
2023-02-05,2023-02-05,Tolima,temp_promedio_semanal,17.8214,°C,open-meteo,7
2023-02-12,2023-02-12,Antioquia,precipitacion_semanal,33.2,mm,open-meteo,7
2023-02-12,2023-02-12,Antioquia,temp_max_semanal,28.5,°C,open-meteo,7
2023-02-12,2023-02-12,Antioquia,temp_min_semanal,14.5,°C,open-meteo,7
2023-02-12,2023-02-12,Antioquia,temp_promedio_semanal,21.4357,°C,open-meteo,7
2023-02-12,2023-02-10,COLOMBIA,fx_usd_local,4749.1298828125,COP/USD,yfinance,5
2023-02-12,2023-02-12,COLOMBIA,precio_interno_referencia,2020000.0,COP/carga_125kg,FNC,7
2023-02-12,2023-02-12,Caldas,precipitacion_semanal,90.4,mm,open-meteo,7
2023-02-12,2023-02-12,Caldas,temp_max_semanal,20.8,°C,open-meteo,7
2023-02-12,2023-02-12,Caldas,temp_min_semanal,9.3,°C,open-meteo,7
2023-02-12,2023-02-12,Caldas,temp_promedio_semanal,14.8,°C,open-meteo,7
2023-02-12,2023-02-12,Cauca,precipitacion_semanal,12.6,mm,open-meteo,7
2023-02-12,2023-02-12,Cauca,temp_max_semanal,21.0,°C,open-meteo,7
2023-02-12,2023-02-12,Cauca,temp_min_semanal,13.0,°C,open-meteo,7
2023-02-12,2023-02-12,Cauca,temp_promedio_semanal,17.2286,°C,open-meteo,7
2023-02-12,2023-02-10,GLOBAL,precio_cafe_arabica,174.75,USc/lb,yfinance,5
2023-02-12,2023-02-12,Huila,precipitacion_semanal,24.5,mm,open-meteo,7
2023-02-12,2023-02-12,Huila,temp_max_semanal,26.9,°C,open-meteo,7
2023-02-12,2023-02-12,Huila,temp_min_semanal,12.8,°C,open-meteo,7
2023-02-12,2023-02-12,Huila,temp_promedio_semanal,19.5286,°C,open-meteo,7
2023-02-12,2023-02-12,Nariño,precipitacion_semanal,19.2,mm,open-meteo,7
2023-02-12,2023-02-12,Nariño,temp_max_semanal,22.0,°C,open-meteo,7
2023-02-12,2023-02-12,Nariño,temp_min_semanal,13.4,°C,open-meteo,7
2023-02-12,2023-02-12,Nariño,temp_promedio_semanal,17.5143,°C,open-meteo,7
2023-02-12,2023-02-12,Quindío,precipitacion_semanal,91.8,mm,open-meteo,7
2023-02-12,2023-02-12,Quindío,temp_max_semanal,24.4,°C,open-meteo,7
2023-02-12,2023-02-12,Quindío,temp_min_semanal,12.8,°C,open-meteo,7
2023-02-12,2023-02-12,Quindío,temp_promedio_semanal,18.6571,°C,open-meteo,7
2023-02-12,2023-02-12,Risaralda,precipitacion_semanal,34.2,mm,open-meteo,7
2023-02-12,2023-02-12,Risaralda,temp_max_semanal,25.5,°C,open-meteo,7
2023-02-12,2023-02-12,Risaralda,temp_min_semanal,13.9,°C,open-meteo,7
2023-02-12,2023-02-12,Risaralda,temp_promedio_semanal,19.9286,°C,open-meteo,7
2023-02-12,2023-02-12,Tolima,precipitacion_semanal,62.3,mm,open-meteo,7
2023-02-12,2023-02-12,Tolima,temp_max_semanal,23.6,°C,open-meteo,7
2023-02-12,2023-02-12,Tolima,temp_min_semanal,12.8,°C,open-meteo,7
